t,vx_des,vy_des,wz_des,vx_out,vy_out,wz_out,imu_wz,tilt_deg,rho_min,poly_violation,hold,solver,solve_ms
1.040,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.060,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.080,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.100,0.00000,0.00000,0.00000,0.00000,0.00000,0.05872,0.00000,0.000,nan,0,0,,
1.120,0.00000,0.00000,0.00000,0.00000,0.00000,0.05872,0.00000,0.000,nan,0,0,,
1.140,0.00000,0.00000,0.00000,0.00000,0.00000,0.07761,0.00000,0.000,nan,0,0,,
1.160,0.00000,0.00000,0.00000,0.00000,0.00000,0.07761,0.00000,0.000,nan,0,0,,
1.180,0.00000,0.00000,0.00000,0.00000,0.00000,0.07761,0.00000,0.000,nan,0,0,,
1.200,0.00000,0.00000,0.00000,0.00000,0.00000,0.09602,0.00000,0.000,nan,0,0,,
1.220,0.00000,0.00000,0.00000,0.00000,0.00000,0.09602,0.00000,0.000,nan,0,0,,
1.240,0.00000,0.00000,0.00000,0.00000,0.00000,0.11383,0.00000,0.000,nan,0,0,,
1.260,0.00000,0.00000,0.00000,0.00000,0.00000,0.11383,0.00000,0.000,nan,0,0,,
1.280,0.00000,0.00000,0.00000,0.00000,0.00000,0.11383,0.00000,0.000,nan,0,0,,
1.300,0.00000,0.00000,0.00000,0.00000,0.00000,0.13094,0.00000,0.000,nan,0,0,,
1.320,0.00000,0.00000,0.00000,0.00000,0.00000,0.13094,0.00000,0.000,nan,0,0,,
1.340,0.00000,0.00000,0.00000,0.00000,0.00000,0.14726,0.00000,0.000,nan,0,0,,
1.360,0.00000,0.00000,0.00000,0.00000,0.00000,0.14726,0.00000,0.000,nan,0,0,,
1.380,0.00000,0.00000,0.00000,0.00000,0.00000,0.14726,0.00000,0.000,nan,0,0,,
1.400,0.00000,0.00000,0.00000,0.00000,0.00000,0.16265,0.00000,0.000,nan,0,0,,
1.420,0.00000,0.00000,0.00000,0.00000,0.00000,0.16265,0.00000,0.000,nan,0,0,,
1.440,0.00000,0.00000,0.00000,0.00000,0.00000,0.17703,0.00000,0.000,nan,0,0,,
1.460,0.00000,0.00000,0.00000,0.00000,0.00000,0.17703,0.00000,0.000,nan,0,0,,
1.480,0.00000,0.00000,0.00000,0.00000,0.00000,0.17703,0.00000,0.000,nan,0,0,,
1.500,0.00000,0.00000,0.00000,0.00000,0.00000,0.19034,0.00000,0.000,nan,0,0,,
1.520,0.00000,0.00000,0.00000,0.00000,0.00000,0.19034,0.00000,0.000,nan,0,0,,
1.540,0.00000,0.00000,0.00000,0.00000,0.00000,0.20246,0.00000,0.000,nan,0,0,,
1.560,0.00000,0.00000,0.00000,0.00000,0.00000,0.20246,0.00000,0.000,nan,0,0,,
1.580,0.00000,0.00000,0.00000,0.00000,0.00000,0.20246,0.00000,0.000,nan,0,0,,
1.600,0.00000,0.00000,0.00000,0.00000,0.00000,0.21336,0.00000,0.000,nan,0,0,,
1.620,0.00000,0.00000,0.00000,0.00000,0.00000,0.21336,0.00000,0.000,nan,0,0,,
1.640,0.00000,0.00000,0.00000,0.00000,0.00000,0.22293,0.00000,0.000,nan,0,0,,
1.660,0.00000,0.00000,0.00000,0.00000,0.00000,0.22293,0.00000,0.000,nan,0,0,,
1.680,0.00000,0.00000,0.00000,0.00000,0.00000,0.22293,0.00000,0.000,nan,0,0,,
1.700,0.00000,0.00000,0.00000,0.00000,0.00000,0.23112,0.00000,0.000,nan,0,0,,
1.720,0.00000,0.00000,0.00000,0.00000,0.00000,0.23112,0.00000,0.000,nan,0,0,,
1.740,0.00000,0.00000,0.00000,0.00000,0.00000,0.23788,0.00000,0.000,nan,0,0,,
1.760,0.00000,0.00000,0.00000,0.00000,0.00000,0.23788,0.00000,0.000,nan,0,0,,
1.780,0.00000,0.00000,0.00000,0.00000,0.00000,0.23788,0.00000,0.000,nan,0,0,,
1.800,0.00000,0.00000,0.00000,0.00000,0.00000,0.24318,0.00000,0.000,nan,0,0,,
1.820,0.00000,0.00000,0.00000,0.00000,0.00000,0.24318,0.00000,0.000,nan,0,0,,
1.840,0.00000,0.00000,0.00000,0.00000,0.00000,0.24698,0.00000,0.000,nan,0,0,,
1.860,0.00000,0.00000,0.00000,0.00000,0.00000,0.24698,0.00000,0.000,nan,0,0,,
1.880,0.00000,0.00000,0.00000,0.00000,0.00000,0.24698,0.00000,0.000,nan,0,0,,
1.900,0.00000,0.00000,0.00000,0.00000,0.00000,0.24926,0.00000,0.000,nan,0,0,,
1.920,0.00000,0.00000,0.00000,0.00000,0.00000,0.24926,0.00000,0.000,nan,0,0,,
1.940,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.000,nan,0,0,,
1.960,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.000,nan,0,0,,
1.980,0.00000,0.00000,0.00000,0.00000,0.00000,0.25000,0.00000,0.000,nan,0,0,,
2.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24920,0.00000,0.000,nan,0,0,,
2.020,0.00000,0.00000,0.00000,0.00000,0.00000,0.24920,0.00000,0.000,nan,0,0,,
2.040,0.00000,0.00000,0.00000,0.00000,0.00000,0.24687,0.00000,0.000,nan,0,0,,
2.060,0.00000,0.00000,0.00000,0.00000,0.00000,0.24687,0.00000,0.000,nan,0,0,,
2.080,0.00000,0.00000,0.00000,0.00000,0.00000,0.24687,0.00000,0.000,nan,0,0,,
2.100,0.00000,0.00000,0.00000,0.00000,0.00000,0.24301,0.00000,0.000,nan,0,0,,
2.120,0.00000,0.00000,0.00000,0.00000,0.00000,0.24301,0.00000,0.000,nan,0,0,,
2.140,0.00000,0.00000,0.00000,0.00000,0.00000,0.23765,0.00000,0.000,nan,0,0,,
2.160,0.00000,0.00000,0.00000,0.00000,0.00000,0.23765,0.00000,0.000,nan,0,0,,
2.180,0.00000,0.00000,0.00000,0.00000,0.00000,0.23765,0.00000,0.000,nan,0,0,,
2.200,0.00000,0.00000,0.00000,0.00000,0.00000,0.23082,0.00000,0.000,nan,0,0,,
2.220,0.00000,0.00000,0.00000,0.00000,0.00000,0.23082,0.00000,0.000,nan,0,0,,
2.240,0.00000,0.00000,0.00000,0.00000,0.00000,0.22258,0.00000,0.000,nan,0,0,,
2.260,0.00000,0.00000,0.00000,0.00000,0.00000,0.22258,0.00000,0.000,nan,0,0,,
2.280,0.00000,0.00000,0.00000,0.00000,0.00000,0.22258,0.00000,0.000,nan,0,0,,
2.300,0.00000,0.00000,0.00000,0.00000,0.00000,0.21296,0.00000,0.000,nan,0,0,,
2.320,0.00000,0.00000,0.00000,0.00000,0.00000,0.21296,0.00000,0.000,nan,0,0,,
2.340,0.00000,0.00000,0.00000,0.00000,0.00000,0.20204,0.00000,0.000,nan,0,0,,
2.360,0.00000,0.00000,0.00000,0.00000,0.00000,0.20204,0.00000,0.000,nan,0,0,,
2.380,0.00000,0.00000,0.00000,0.00000,0.00000,0.20204,0.00000,0.000,nan,0,0,,
2.400,0.00000,0.00000,0.00000,0.00000,0.00000,0.18986,0.00000,0.000,nan,0,0,,
2.420,0.00000,0.00000,0.00000,0.00000,0.00000,0.18986,0.00000,0.000,nan,0,0,,
2.440,0.00000,0.00000,0.00000,0.00000,0.00000,0.17651,0.00000,0.000,nan,0,0,,
2.460,0.00000,0.00000,0.00000,0.00000,0.00000,0.17651,0.00000,0.000,nan,0,0,,
2.480,0.00000,0.00000,0.00000,0.00000,0.00000,0.17651,0.00000,0.000,nan,0,0,,
2.500,0.00000,0.00000,0.00000,0.00000,0.00000,0.16208,0.00000,0.000,nan,0,0,,
2.520,0.00000,0.00000,0.00000,0.00000,0.00000,0.16208,0.00000,0.000,nan,0,0,,
2.540,0.00000,0.00000,0.00000,0.00000,0.00000,0.14664,0.00000,0.000,nan,0,0,,
2.560,0.00000,0.00000,0.00000,0.00000,0.00000,0.14664,0.00000,0.000,nan,0,0,,
2.580,0.00000,0.00000,0.00000,0.00000,0.00000,0.14664,0.00000,0.000,nan,0,0,,
2.600,0.00000,0.00000,0.00000,0.00000,0.00000,0.13029,0.00000,0.000,nan,0,0,,
2.620,0.00000,0.00000,0.00000,0.00000,0.00000,0.13029,0.00000,0.000,nan,0,0,,
2.640,0.00000,0.00000,0.00000,0.00000,0.00000,0.11316,0.00000,0.000,nan,0,0,,
2.660,0.00000,0.00000,0.00000,0.00000,0.00000,0.11316,0.00000,0.000,nan,0,0,,
2.680,0.00000,0.00000,0.00000,0.00000,0.00000,0.11316,0.00000,0.000,nan,0,0,,
2.700,0.00000,0.00000,0.00000,0.00000,0.00000,0.09533,0.00000,0.000,nan,0,0,,
2.720,0.00000,0.00000,0.00000,0.00000,0.00000,0.09533,0.00000,0.000,nan,0,0,,
2.740,0.00000,0.00000,0.00000,0.00000,0.00000,0.07691,0.00000,0.000,nan,0,0,,
2.760,0.00000,0.00000,0.00000,0.00000,0.00000,0.07691,0.00000,0.000,nan,0,0,,
2.780,0.00000,0.00000,0.00000,0.00000,0.00000,0.07691,0.00000,0.000,nan,0,0,,
2.800,0.00000,0.00000,0.00000,0.00000,0.00000,0.05800,0.00000,0.000,nan,0,0,,
2.820,0.00000,0.00000,0.00000,0.00000,0.00000,0.05800,0.00000,0.000,nan,0,0,,
2.840,0.00000,0.00000,0.00000,0.00000,0.00000,0.03874,0.00000,0.000,nan,0,0,,
2.860,0.00000,0.00000,0.00000,0.00000,0.00000,0.03874,0.00000,0.000,nan,0,0,,
2.880,0.00000,0.00000,0.00000,0.00000,0.00000,0.03874,0.00000,0.000,nan,0,0,,
2.900,0.00000,0.00000,0.00000,0.00000,0.00000,0.01924,0.00000,0.000,nan,0,0,,
2.920,0.00000,0.00000,0.00000,0.00000,0.00000,0.01924,0.00000,0.000,nan,0,0,,
2.940,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00038,0.00000,0.000,nan,0,0,,
2.960,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00038,0.00000,0.000,nan,0,0,,
2.980,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00038,0.00000,0.000,nan,0,0,,
3.000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.02000,0.00000,0.000,nan,0,0,,
3.020,0.00000,0.00000,0.00000,0.00000,0.00000,-0.02000,0.00000,0.000,nan,0,0,,
3.040,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03945,0.00000,0.000,nan,0,0,,
3.060,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03945,0.00000,0.000,nan,0,0,,
3.080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03945,0.00000,0.000,nan,0,0,,
3.100,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05873,0.00000,0.000,nan,0,0,,
3.120,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05873,0.00000,0.000,nan,0,0,,
3.140,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07762,0.00000,0.000,nan,0,0,,
3.160,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07762,0.00000,0.000,nan,0,0,,
3.180,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07762,0.00000,0.000,nan,0,0,,
3.200,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09601,0.00000,0.000,nan,0,0,,
3.220,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09601,0.00000,0.000,nan,0,0,,
3.240,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11384,0.00000,0.000,nan,0,0,,
3.260,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11384,0.00000,0.000,nan,0,0,,
3.280,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11384,0.00000,0.000,nan,0,0,,
3.300,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13096,0.00000,0.000,nan,0,0,,
3.320,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13096,0.00000,0.000,nan,0,0,,
3.340,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14726,0.00000,0.000,nan,0,0,,
3.360,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14726,0.00000,0.000,nan,0,0,,
3.380,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14726,0.00000,0.000,nan,0,0,,
3.400,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16266,0.00000,0.000,nan,0,0,,
3.420,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16266,0.00000,0.000,nan,0,0,,
3.440,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17705,0.00000,0.000,nan,0,0,,
3.460,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17705,0.00000,0.000,nan,0,0,,
3.480,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17705,0.00000,0.000,nan,0,0,,
3.500,0.00000,0.00000,0.00000,0.00000,0.00000,-0.19035,0.00000,0.000,nan,0,0,,
3.520,0.00000,0.00000,0.00000,0.00000,0.00000,-0.19035,0.00000,0.000,nan,0,0,,
3.540,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20248,0.00000,0.000,nan,0,0,,
3.560,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20248,0.00000,0.000,nan,0,0,,
3.580,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20248,0.00000,0.000,nan,0,0,,
3.600,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21336,0.00000,0.000,nan,0,0,,
3.620,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21336,0.00000,0.000,nan,0,0,,
3.640,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22292,0.00000,0.000,nan,0,0,,
3.660,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22292,0.00000,0.000,nan,0,0,,
3.680,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22292,0.00000,0.000,nan,0,0,,
3.700,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23111,0.00000,0.000,nan,0,0,,
3.720,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23111,0.00000,0.000,nan,0,0,,
3.740,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23788,0.00000,0.000,nan,0,0,,
3.760,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23788,0.00000,0.000,nan,0,0,,
3.780,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23788,0.00000,0.000,nan,0,0,,
3.800,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24318,0.00000,0.000,nan,0,0,,
3.820,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24318,0.00000,0.000,nan,0,0,,
3.840,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24698,0.00000,0.000,nan,0,0,,
3.860,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24698,0.00000,0.000,nan,0,0,,
3.880,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24698,0.00000,0.000,nan,0,0,,
